Profile ID;Organisation;Location;Work Category;
34054;abhiyaaktii;Uttaranchal, Dehradun;Children - Education , Children - Slums , Children - Street Children;
35516;Abhiyaan;Jammu and Kashmir, Jammu;Social Welfare , Social Welfare;
35516;Abhiyaan;Jammu and Kashmir, Jammu;Social Welfare , Social Welfare;
2392;Abhiyan;Bihar, Patna;Social Welfare;
4466;Abhiyan Social Reform Society;Gujarat, Baroda;Children , Children , Rural and Urban Development , Rural and Urban Development , Women , Women;
5018;Abhlod Yuvak Mandal;Gujarat, Dahod;Social Welfare , Social Welfare;
32818;Abhoy Ashram;Tripura, Others;Disabilities , Education - Literacy , Medical - Health;
40684;Abhubridhi No 77;Karnataka, Tumkur;Children - Education;
33024;Abhudaya Sansthan Banda;Uttar Pradesh, Banda;Medical - HIV / AIDs , Rural Development , Women;
10652;Abhyudaya;Delhi, Delhi;Education - Literacy , Human Rights , Rural Development;
12816;Abhyudaya Foundation,Aurangabad.M.S.;Maharashtra, Aurangabad;Environment , Self - Employment , Youth;
36346;Abilashrayam;Karnataka, Bangalore;Children , Children - Education , Children - Orphanages;
26508;Ability Foundation;Tamil Nadu, Chennai;Disabilities;
10992;Ability Unlimited;Delhi, Delhi;Art and Culture , Disabilities - Hearing - Challenged , Disabilities - Mentally - Challenged;
34926;Ability Unlimited;West Bengal, Kolkota;Business - Business Development Services , Social Welfare , Volunteer Management;
28388;Abinaya Women Development Society;Tamil Nadu, Kanyakumari;Social Welfare , Social Welfare;
32168;abiramisociety trust;Tamil Nadu, Tuticorin;Afforestation , Business - NGO Products , Rural Development;
1012;ABISHAI FOUNDATION;Andhra Pradesh, Hyderabad;Children - Orphanages , Disabilities , Medical - HIV / AIDs;
28614;Abk Aots Dosokai;Tamil Nadu, Madurai;Social Welfare , Social Welfare;
12662;Aboriginal Bauuddashiya  Sanstha;Maharashtra, Amravati;Community Development , Environment - Asbestos Dangers , Rural Development;
31526;Abraham Educational Trust;Tamil Nadu, Tiruchendur;Children - Education , Social Welfare;
26526;Abraham Thankammal Memorial Trust;Tamil Nadu, Chennai;Social Welfare , Social Welfare;
7792;Abul Kalam Azad Islamic Awakening Centre;Delhi, Delhi;Children - Education;
38266;Abundant Life in Christ Ministries Association;Karnataka, Bellary;Social Welfare;
3762;Aburaj Annekshetra Trust;Gujarat, Ahmedabad;Social Welfare , Social Welfare;
38088;Abyndaya Kendra;Karnataka, Belgaum;Social Welfare;
1214;Abyudaya Yuvajana Sangam;Andhra Pradesh, Kurnool;Children;
40958;ACADEMIC & TECHNICAL EDUCATION DEVELOPMENT SOCIETY;Kerala, Cannanore;Environment , Women , Youth;
22032;Academic and Technical Education Development Society;Pondicherry, Others;Children , Environment , Women;
13206;Academy For Development Science;Maharashtra, Karjat;Community Development;
18162;Academy For Development Science;Maharashtra, Rajapur;Social Welfare , Social Welfare;
16058;Academy for Mobilising Urban Rural Action through Education;Maharashtra, Mumbai, Santacruz (E);Children , Empowerment , Women;
17012;Academy for Non-profiteering Activities Nurturing Development;Maharashtra, Navi Mumbai;Education - Literacy , Institution , Youth;
36644;Academy For Severe Handicaps And Autism(Asha charitable Trust);Karnataka, Bangalore;Disabilities - Hearing - Challenged , Medical - Hospital;
3444;Academy of Ayurveda Development and Research;Gujarat, Ahmedabad;Medical - Health , Medical - Research Centre;
19988;academy of bioresource development;Orissa, Bhubaneshwar;Business - Business Development Services , Capacity Building , Children - Child Guidance Clinic;
17262;Academy of Development Science;Maharashtra, Others, Others;Medical - Health , Rural Development;
7794;Academy of Fine Arts & Literature;Delhi, Delhi;Social Welfare;
266;Academy of Gandhian Studies (AGS);Andhra Pradesh, Chittoor;Capacity Building , Children , Rural and Urban Development;
264;Academy of Grassroots Studies and Research of India (AGRASRI);Andhra Pradesh, Chittoor;Empowerment , Governance , Rural and Urban Development;
